file_name,trend,seasonal,stationary,pattern,shifting,dataset_name,train_lens,time_steps,if_univariate,size,type_value,total_len,train/total
NAB_data_Traffic_6.csv,False,False,True,False,False,NAB,112,1126.0,True,large,Shapelet,,
NAB_data_CloudWatch_15.csv,False,False,True,False,True,NAB,124,1242.0,True,large,Shapelet,,
NAB_data_Exchange_3.csv,False,False,True,False,False,NAB,153,1537.0,True,large,Shapelet,,
NAB_data_Exchange_4.csv,False,False,False,False,False,NAB,153,1537.0,True,large,Shapelet,,
NAB_data_Exchange_2.csv,False,False,True,False,False,NAB,162,1623.0,True,large,Shapelet,,
NAB_data_Exchange_5.csv,False,False,True,False,False,NAB,164,1642.0,True,large,Shapelet,,
NAB_data_Exchange_6.csv,False,False,True,False,False,NAB,164,1642.0,True,large,Shapelet,,
NAB_data_KnownCause_6.csv,False,False,True,False,False,NAB,188,1881.0,True,large,Shapelet,,
NAB_data_Traffic_2.csv,False,False,True,False,True,NAB,216,2161.0,True,large,Shapelet,,
Yahoo_A1real_62_data.csv,False,False,False,False,False,YAHOO,222,741.0,True,large,mix,,
Yahoo_A1real_54_data.csv,False,True,True,False,False,YAHOO,222,741.0,True,large,Shapelet,,
NAB_data_Traffic_3.csv,False,False,True,False,False,NAB,237,2379.0,True,large,Shapelet,,
NAB_data_Traffic_1.csv,False,False,True,False,False,NAB,249,2499.0,True,large,Shapelet,,
NAB_data_Traffic_4.csv,False,False,True,False,False,NAB,249,2499.0,True,large,Shapelet,,
NAB_data_Traffic_5.csv,False,False,True,False,False,NAB,249,2499.0,True,large,Shapelet,,
NAB_data_Traffic_7.csv,False,False,True,False,False,NAB,249,2494.0,True,large,Shapelet,,
NAB_data_art1_4.csv,False,False,True,False,False,NAB,403,4031.0,True,large,Seasonal,,
NAB_data_art1_0.csv,False,True,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_art1_1.csv,False,True,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_art1_2.csv,False,True,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_art1_3.csv,False,True,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_art1_5.csv,False,False,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_1.csv,False,False,True,False,True,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_11.csv,False,False,True,False,True,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_13.csv,False,False,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_16.csv,True,False,False,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_17.csv,False,False,False,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_2.csv,False,False,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_3.csv,False,False,False,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_4.csv,False,False,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_5.csv,False,False,True,False,False,NAB,403,4031.0,True,large,Shapelet,,
NAB_data_CloudWatch_6.csv,True,False,False,False,False,NAB,403,4031.0,True,large,Shapelet,,
